N	Name	CoreFr	BoostFr	MemGb	MemFr	Bits	Price
318262	GeForce GTX1650 ASUS PCI-E 4096Mb (DUAL-GTX1650-O4G)	1485	1755	4	8002	128	15630
340809	GeForce GTX1650 Super Palit StormX OC 4G PCI-E 4096Mb (NE6165SS18G1-166F)	1770	1530	4	12000	128	15630
341456	GeForce GTX1650 Super ASUS PCI-E 4096Mb (PH-GTX1650S-O4G)	1530	1770	4	12002	128	15690
345762	GeForce GTX1650 ASUS PCI-E 4096Mb (ROG-STRIX-GTX1650-4G-GAMING)	1485	1695	4	8002	128	15700
318114	GeForce GTX1650 Gigabyte PCI-E 4096Mb (GV-N1650GAMING OC-4GD)	1815	1815	4	8002	128	15750
241268	GeForce GTX1050 Ti ASUS ROG PCI-E 4096Mb (STRIX-GTX1050TI-4G-GAMING)	1290	1392	4	7008	128	15950
340441	GeForce GTX1650 Super Inno3D Compact PCI-E 4096Mb (N165S1-04D6-1720VA29)	1725	1725	4	12000	128	15990
332583	GeForce GTX1650 ASUS PCI-E 4096Mb (GTX1650-O4G-LP-BRK)	1485	1740	4	8002	128	16080
332409	GeForce GTX1650 ASUS PCI-E 4096Mb (TUF-GTX1650-4G-GAMING)	1485	1695	4	8002	128	16080
341445	GeForce GTX1650 Super Zotac PCI-E 4096Mb (ZT-T16510F-10L)	1530	1725	4	12002	128	16180
310369	GeForce GTX1060 KFA2 OC PCI-E 6144Mb (133041)	1518	1733	6	8008	192	16270
332410	GeForce GTX1650 ASUS PCI-E 4096Mb (TUF-GTX1650-O4G-GAMING)	1485	1785	4	8002	128	16450
342661	GeForce GTX1650 Super ASUS PCI-E 4096Mb (PH-GTX1650S-4G)	1530	1755	4	12002	128	16620
342003	GeForce GTX1650 Super Gigabyte PCI-E 4096Mb (GV-N165SOC-4GD)	1740	1740	4	12000	128	16620
340447	GeForce GTX1650 Super MSI PCI-E 4096Mb (GTX 1650 SUPER AERO ITX OC)	1740	1740	4	12000	128	16620
321122	GeForce GTX1650 ASUS PCI-E 4096Mb (ROG-STRIX-GTX1650-A4G-GAMING)	1485	1710	4	8002	128	16880
319297	GeForce GTX1650 ASUS PCI-E 4096Mb (ROG-STRIX-GTX1650-O4G-GAMING)	1485	1860	4	8002	128	17330
258413	GeForce GTX1060 Inno3D Compact 2 PCI-E 6144Mb (N1060-6DDN-N5GM)	1506	1708	6	8008	192	17590
340450	GeForce GTX1650 Super MSI PCI-E 4096Mb (GTX 1650 SUPER VENTUS XS OC)	1740	1740	4	12000	128	17690
340710	GeForce GTX1650 Super Gigabyte PCI-E 4096Mb (GV-N165SWF2OC-4GD)	1755	1755	4	12000	128	17960
341467	GeForce GTX1650 Super ASUS PCI-E 4096Mb (TUF-GTX1650S-4G-GAMING)	1530	1755	4	12002	128	18220
319192	GeForce GTX1660 Gigabyte PCI-E 6144Mb (GV-N1660IXOC-6GD)	1800	1800	6	8002	192	18260
313825	GeForce GTX1660 Palit StormX OC PCI-E 6144Mb (0529) (NE51660S18J9)	1530	1830	6	8000	192	18420
340451	GeForce GTX1650 Super MSI PCI-E 4096Mb (GTX 1650 SUPER GAMING X)	1755	1755	4	12000	128	18580
341464	GeForce GTX1650 Super ASUS PCI-E 4096Mb (TUF-GTX1650S-O4G-GAMING)	1530	1800	4	12002	128	18670
315181	GeForce GTX1660 Palit Dual PCI-E 6144Mb (NE51660018J9)	1530	1785	6	8000	192	19360
317242	GeForce GTX1660 MSI PCI-E 6144Mb (GTX 1660 AERO ITX 6G OC)	1830	1830	6	8000	192	19590
313824	GeForce GTX1660 Palit StormX PCI-E 6144Mb (NE51660018J9)	1530	1785	6	8000	192	20150
342662	GeForce GTX1650 Super ASUS PCI-E 4096Mb (ROG-STRIX-GTX1650S-O4G-GAMING)	1530	1815	4	12002	128	20510
350344	GeForce GTX1660 MSI PCI-E 6144Mb (GTX 1660 VENTUS XS 6G V1)	1530	1785	6	8000	192	20570
230729	GeForce GTX1060 ASUS PCI-E 6144Mb (TURBO-GTX1060-6G)	1506	1708	6	8008	192	20800
342663	GeForce GTX1660 EVGA XC BLACK GAMING PCI-E 6144Mb (06G-P4-1161-KR)	1785	1785	6	8000	192	20830
343107	GeForce GTX1660 Super Gigabyte PCI-E 6144Mb (GV-N166SGAMING-6GD)	1770	1770	6	14000	192	20970
341452	GeForce GTX1660 Zotac PCI-E 6144Mb (ZT-T16600K-10M)	1530	1785	6	8000	192	21010
342664	GeForce GTX1660 EVGA XC OVERCLOCKED PCI-E 6144Mb (06G-P4-1163-KR)	1830	1830	6	8000	192	21270
329884	GeForce GTX1660 Inno3D Gaming OC X2 PCI-E 6144Mb (N16602-06D5X-1521VA15L)	1815	1815	6	8000	192	21270
314900	GeForce GTX1660 MSI PCI-E 6144Mb (GTX 1660 VENTUS XS 6G OC)	1830	1830	6	8000	192	21270
315182	GeForce GTX1660 Palit Dual OC PCI-E 6144Mb (NE51660S18J9)	1530	1830	6	8000	192	21310
336297	GeForce GTX1660 Super Palit StormX OC PCI-E 6144Mb (NE6166SS18J9-161F)	1530	1830	6	14000	192	21320
228214	GeForce GTX1060 Palit Dual PCI-E 6144Mb	1506	1708	6	8000	192	21360
336856	GeForce GTX1660 Colorful PCI-E 6144Mb (GTX 1660 Ultra 6G-V)	1530	1860	6	8000	192	21410
331057	GeForce GTX1660 MSI PCI-E 6144Mb (GTX 1660 VENTUS XS 6G OCV1)	1530	1830	6	8000	192	21410
342796	GeForce GTX1660 Super EVGA SC ULTRA GAMING PCI-E 6144Mb (06G-P4-1068-KR)	1830	1830	6	14000	192	21690
336296	GeForce GTX1660 Super Palit StormX PCI-E 6144Mb (NE6166S018J9-161F)	1530	1785	6	14000	192	21710
313672	GeForce GTX1660 MSI PCI-E 6144Mb (GTX 1660 ARMOR 6G OC)	1845	1845	6	8000	192	21720
337492	GeForce GTX1660 Super ASUS PCI-E 6144Mb (PH-GTX1660S-O6G)	1530	1830	6	14002	192	21750
313677	GeForce GTX1660 Gigabyte PCI-E 6144Mb (GV-N1660OC-6GD)	1830	1830	6	8000	192	21850
336216	GeForce GTX1660 Super MSI PCI-E 6144Mb (GTX 1660 SUPER VENTUS XS OC)	1815	1815	6	14000	192	22100
336293	GeForce GTX1660 Super Palit GamingPro OC PCI-E 6144Mb (NE6166SS18J9-1160A)	1530	1830	6	14000	192	22380
230495	GeForce GTX1060 ASUS PCI-E 6144Mb (DUAL-GTX1060-O6G)	1569	1809	6	8008	192	22510
347138	GeForce GTX1660 Super EVGA BLACK GAMING PCI-E 6144Mb (06G-P4-1061-KR)	1530	1785	6	14000	192	22560
349841	GeForce GTX1660 Super Gigabyte PCI-E 6144Mb (GV-N166SIX-6GD)	1605	1785	6	14000	192	22560
336289	GeForce GTX1660 Super Palit GamingPro PCI-E 6144Mb (NE6166S018J9-1160A)	1530	1785	6	14000	192	22690
313675	GeForce GTX1660 Gigabyte PCI-E 6144Mb (GV-N1660GAMING OC-6GD)	1860	1860	6	8002	192	22740
336213	GeForce GTX1660 Super Gigabyte PCI-E 6144Mb (GV-N166SOC-6GD)	1830	1830	6	14000	192	22830
317736	GeForce GTX1660 MSI PCI-E 6144Mb (GTX 1660 GAMING 6G)	1785	1785	6	8000	192	23000
340959	GeForce GTX1660 Super ASUS PCI-E 6144Mb (PH-GTX1660S-6G)	1530	1815	6	14002	192	23000
336522	GeForce GTX1660 Super Gigabyte PCI-E 6144Mb (GV-N166SIXOC-6GD)	1800	1800	6	14000	192	23180
337489	GeForce GTX1660 Super ASUS PCI-E 6144Mb (DUAL-GTX1660S-A6G-EVO)	1530	1830	6	14002	192	23220
336521	GeForce GTX1660 Super MSI PCI-E 6144Mb (GTX 1660 SUPER AERO ITX OC)	1815	1815	6	14000	192	23320
313673	GeForce GTX1660 MSI PCI-E 6144Mb (GTX 1660 GAMING X 6G)	1860	1860	6	8000	192	23410
337705	GeForce GTX1660 Super MSI PCI-E 6144Mb (GTX 1660 SUPER VENTUS XS OCV1)	1530	1815	6	14000	192	23500
350168	GeForce GTX1660 Super MSI PCI-E 6144Mb (GTX 1660 SUPER VENTUS XS V1)	1530	1785	6	14000	192	23500
311963	GeForce GTX1660 Ti Gigabyte PCI-E 6144Mb (GV-N166TOC-6GD)	1800	1800	6	12000	192	23580
350167	GeForce GTX1660 Super MSI PCI-E 6144Mb (GTX 1660 SUPER AERO ITX)	1785	1785	6	14000	192	23590
336211	GeForce GTX1660 Super Gigabyte PCI-E 6144Mb (GV-N166SGAMING OC-6GD)	1860	1860	6	14000	192	23890
