349999	32Gb DDR4 3000MHz Crucial Ballistix Red (BL2K16G30C15U4RL) (2x16Gb KIT)	32	24000	16570
358569	32Gb DDR4 3200MHz Kingston HyperX Fury (HX432C16FB4K2/32) (2x16Gb KIT)	32	25600	16660
379421	32Gb DDR4 2666MHz Kingston HyperX Fury RGB (HX426C16FB4AK2/32) (2x16Gb KIT)	32	21300	16730
387510	32Gb DDR4 3200MHz ADATA XPG Gammix D30 (AX4U320016G16A-DB30) (2x16Gb KIT)	32	25600	16760
380264	32Gb DDR4 3200MHz GeIL Super Luce (GLWS432GB3200C16ADC) (2x16Gb KIT)	32	25600	16840
329072	32Gb DDR4 3200MHz Kingston HyperX Fury RGB (HX432C16FB3AK2/32) (2x16Gb KIT)	32	25600	16890
254583	32Gb DDR4 2400MHz Kingston HyperX Predator (HX424C12PB3K2/32) (2x16 KIT)	32	19200	16910
212842	32Gb DDR4 2133MHz Corsair Vengeance LPX (CMK32GX4M2A2133C13) (2x16Gb KIT)	32	17000	16980
377770	32Gb DDR4 3200MHz Patriot Viper Steel RGB (PVSR432G320C8K) (2x16Gb KIT)	32	25600	16980
379425	32Gb DDR4 3200MHz Kingston HyperX Fury RGB (HX432C16FB4AK2/32) (2x16Gb KIT)	32	25600	17010
357903	32Gb DDR4 3600MHz Patriot Viper Steel (PVS432G360C8K) (2x16Gb KIT)	32	28800	17060
197992	32Gb DDR4 2400MHz Corsair Vengeance LPX (CMK32GX4M2A2400C14) (2x16Gb KIT)	32	19200	17130
359129	32Gb DDR4 3466MHz Kingston HyperX Fury (HX434C17FB4K2/32) (2x16Gb KIT)	32	27700	17130
230365	32Gb DDR4 3000MHz Kingston HyperX Predator (HX430C15PB3K2/32) (2x16Gb KIT)	32	24000	17210
387185	32Gb DDR4 3200MHz ADATA XPG D41 RGB (AX4U320016G16A-DR41) (2x16Gb KIT)	32	25600	17350
311780	32Gb DDR4 3200MHz Kingston HyperX Predator (HX432C16PB3K2/32)(2x16 KIT)	32	25600	17370
