463	torrent
67	install
51	VirtualBox VMs
33	Games
31	.PlayOnLinux
29	.steam
16	projects
15	Downloads
13	.vagrant.d
8.7	.wine
6.4	.local
5.5	phone
3.6	photos
2.8	temp
2.8	.IdeaIC2019.3
2.5	.IdeaIC2019.2
2.5	DOS
2.1	.IdeaIC2019.1
2.1	.IdeaIC2017.1
2.0	.IdeaIC2018.3
2.0	.IdeaIC15
1.9	.IdeaIC2017.2
1.9	.cache
1.6	.IdeaIC2016.2
1.4	.xsession-errors
1.3	.IdeaIC2016.1
1.2	.IdeaIC2017.3
